lang,old_url,slug
de,https://www.phoeniximport.com/de/3/krperpflege/himalayas-dreams.aspx,himalayas-dreams
de,https://www.phoeniximport.com/de/3/schreibwaren-und-verpackungen/illumination-mandala-stickers.aspx,illumination-mandala-stickers
de,https://www.phoeniximport.com/de/3/lagerausverkauf.aspx,lagerausverkauf
de,https://www.phoeniximport.com/de/3/krperpflege/le-secret-naturel.aspx,le-secret-naturel
de,https://www.phoeniximport.com/de/3/biologische-produkte/planet-pure-reinigungsprodukte.aspx,planet-pure-reinigungsprodukte
en,https://www.phoeniximport.com/en/3/body-care/himalayas-dreams.aspx,himalayas-dreams
en,https://www.phoeniximport.com/en/3/stationery-and-packaging/illumination-mandala-stickers.aspx,illumination-mandala-stickers
en,https://www.phoeniximport.com/en/3/body-care/le-secret-naturel.aspx,le-secret-naturel
en,https://www.phoeniximport.com/en/3/organic-products/planet-pure-cleaning-products.aspx,planet-pure-cleaning-products
en,https://www.phoeniximport.com/en/3/sale-warehouse-clearance.aspx,sale-warehouse-clearance
en,https://www.phoeniximport.com/en/3/healthy-lifestyle/tea-natural-temptation-organic.aspx,tea-natural-temptation-organic
es,https://www.phoeniximport.com/es/3/yoga/correas-de-yoga.aspx,correas-de-yoga
es,https://www.phoeniximport.com/es/3/cuidado-del-cuerpo/himalayas-dreams.aspx,himalayas-dreams
es,https://www.phoeniximport.com/es/3/cuidado-del-cuerpo/le-secret-naturel.aspx,le-secret-naturel
es,https://www.phoeniximport.com/es/3/liquidacin-de-productos.aspx,liquidacin-de-productos
es,https://www.phoeniximport.com/es/3/nuevos-artculos.aspx,nuevos-artculos
es,https://www.phoeniximport.com/es/3/papelera-y-embalajes/pegatinas-illumination-mandala.aspx,pegatinas-illumination-mandala
es,https://www.phoeniximport.com/es/3/productos-orgnicos/planet-pure-productos-de-limpieza.aspx,planet-pure-productos-de-limpieza
es,https://www.phoeniximport.com/es/3/productos-para-una-vida-sana/t-orgnico-natural-temptation.aspx,t-orgnico-natural-temptation
es,https://www.phoeniximport.com/es/3/textiles.aspx,textiles
fr,https://www.phoeniximport.com/fr/3/papeterie-et-emballage/adhsifs-illumination-mandala.aspx,adhsifs-illumination-mandala
fr,https://www.phoeniximport.com/fr/3/spiritualit/drapeaux-de-prire-tibtains.aspx,drapeaux-de-prire-tibtains
fr,https://www.phoeniximport.com/fr/3/soin-du-corps/himalayas-dreams.aspx,himalayas-dreams
fr,https://www.phoeniximport.com/fr/3/soin-du-corps/le-secret-naturel.aspx,le-secret-naturel
fr,https://www.phoeniximport.com/fr/3/nouveaux-produits.aspx,nouveaux-produits
fr,https://www.phoeniximport.com/fr/3/produits-biologiques/planet-pure-produits-de-nettoyage.aspx,planet-pure-produits-de-nettoyage
fr,https://www.phoeniximport.com/fr/3/maison-dco/planet-pure-produits-de-nettoyage-bio.aspx,planet-pure-produits-de-nettoyage-bio
fr,https://www.phoeniximport.com/fr/3/textiles.aspx,textiles
fr,https://www.phoeniximport.com/fr/3/produits-pour-une-vie-saine/th-natural-temptation-biologique.aspx,th-natural-temptation-biologique
fr,https://www.phoeniximport.com/fr/3/vente-liquidation-dentrept.aspx,vente-liquidation-dentrept
it,https://www.phoeniximport.com/it/3/cancelleria-e-imballaggi/adesivi-illuminazione-mandala.aspx,adesivi-illuminazione-mandala
it,https://www.phoeniximport.com/it/3/cura-del-corpo/aleppo-najel.aspx,aleppo-najel
it,https://www.phoeniximport.com/it/3/yoga/cinghie-per-lo-yoga.aspx,cinghie-per-lo-yoga
it,https://www.phoeniximport.com/it/3/cura-del-corpo/himalayas-dreams.aspx,himalayas-dreams
it,https://www.phoeniximport.com/it/3/cura-del-corpo/le-secret-naturel.aspx,le-secret-naturel
it,https://www.phoeniximport.com/it/3/nuovi-prodotti.aspx,nuovi-prodotti
it,https://www.phoeniximport.com/it/3/prodotti-organici/planet-pure-prodotti-per-la-pulizia.aspx,planet-pure-prodotti-per-la-pulizia
it,https://www.phoeniximport.com/it/3/svendita-sconti-magazzino.aspx,svendita-sconti-magazzino
nl,https://www.phoeniximport.com/nl/3/lichaamsverzorging/himalayas-dreams.aspx,himalayas-dreams
nl,https://www.phoeniximport.com/nl/3/stationery-en-verpakkingen/illumination-mandala-stickers.aspx,illumination-mandala-stickers
nl,https://www.phoeniximport.com/nl/3/lichaamsverzorging/le-secret-naturel.aspx,le-secret-naturel
nl,https://www.phoeniximport.com/nl/3/magazijnopruiming.aspx,magazijnopruiming
nl,https://www.phoeniximport.com/nl/3/nieuwe-producten-oud.aspx,nieuwe-producten-oud
nl,https://www.phoeniximport.com/nl/3/biologische-producten/planet-pure-reinigingsproducten.aspx,planet-pure-reinigingsproducten
nl,https://www.phoeniximport.com/nl/3/gezonde-leefstijl/thee-natural-temptation-biologisch.aspx,thee-natural-temptation-biologisch
